app,time,outlier,time2
Instagram,4.9,0,4.9
Facebook,0.03333333333333333,0,0.03333333333333333
YouTube,0.15,0,0.15
TikTok,2,0,2
Instagram,0.5,0,0.5
Facebook,0.5,0,0.5
YouTube,0.5,0,0.5
TikTok,3,0,3
Instagram,2,0,2
Facebook,1.5,0,1.5
YouTube,0.5,0,0.5
TikTok,3.2,0,3.2
Instagram,2.0166666666666666,0,2.0166666666666666
Facebook,0.26666666666666666,0,0.26666666666666666
YouTube,0,0,0
TikTok,11,0,11
Instagram,5.616666666666667,0,5.616666666666667
Facebook,0.7,0,0.7
YouTube,0,0,0
TikTok,9.366666666666667,0,9.366666666666667
Instagram,4.983333333333333,0,4.983333333333333
Facebook,1.1833333333333333,0,1.1833333333333333
YouTube,0,0,0
TikTok,14.4,0,14.4
Instagram,4.866666666666667,0,4.866666666666667
Facebook,1.9,0,1.9
YouTube,5.1,0,5.1
TikTok,7.2,0,7.2
Instagram,1.7,0,1.7
Facebook,0.6,0,0.6
YouTube,2.4166666666666665,0,2.4166666666666665
TikTok,1,0,1
Instagram,1,0,1
Facebook,1,0,1
YouTube,1,0,1
TikTok,4.166666666666667,0,4.166666666666667
Instagram,4.25,0,4.25
Facebook,4.333333333333333,0,4.333333333333333
YouTube,4.333333333333333,0,4.333333333333333
TikTok,10,0,10
Instagram,0,0,0
Facebook,12,1,NA
YouTube,0,0,0
TikTok,13.083333333333334,0,13.083333333333334
Instagram,7.55,0,7.55
Facebook,0.31666666666666665,0,0.31666666666666665
YouTube,0,0,0
TikTok,7.95,0,7.95
Instagram,1.9666666666666668,0,1.9666666666666668
Facebook,0.9666666666666667,0,0.9666666666666667
YouTube,3.0166666666666666,0,3.0166666666666666
TikTok,3.2333333333333334,0,3.2333333333333334
Instagram,3.1333333333333333,0,3.1333333333333333
Facebook,0.13333333333333333,0,0.13333333333333333
YouTube,0.016666666666666666,0,0.016666666666666666
TikTok,4,0,4
Instagram,5,0,5
Facebook,5,0,5
YouTube,7,0,7
TikTok,10,0,10
Instagram,12,0,12
Facebook,5,0,5
YouTube,3,0,3
TikTok,1.0166666666666666,0,1.0166666666666666
Instagram,0,0,0
Facebook,1.0166666666666666,0,1.0166666666666666
YouTube,2.033333333333333,0,2.033333333333333
TikTok,2,0,2
Instagram,0,0,0
Facebook,2,0,2
YouTube,3,0,3
TikTok,1,0,1
Instagram,10,0,10
Facebook,2.9166666666666665,0,2.9166666666666665
YouTube,1,0,1
TikTok,2.033333333333333,0,2.033333333333333
Instagram,0.5,0,0.5
Facebook,0.5,0,0.5
YouTube,1.2833333333333332,0,1.2833333333333332
TikTok,0,0,0
Instagram,3,0,3
Facebook,5,0,5
YouTube,3,0,3
TikTok,0,0,0
Instagram,0,0,0
Facebook,5,0,5
YouTube,0,0,0
TikTok,17.016666666666666,0,17.016666666666666
Instagram,15,1,NA
Facebook,17,1,NA
YouTube,17,1,NA
TikTok,10,0,10
Instagram,0,0,0
Facebook,5,0,5
YouTube,15,1,NA
TikTok,4.416666666666667,0,4.416666666666667
Instagram,1.2,0,1.2
Facebook,3.55,0,3.55
YouTube,1.3666666666666667,0,1.3666666666666667
TikTok,3.9166666666666665,0,3.9166666666666665
Instagram,0.75,0,0.75
Facebook,2.8333333333333335,0,2.8333333333333335
YouTube,4.116666666666666,0,4.116666666666666
TikTok,0,0,0
Instagram,0,0,0
Facebook,0,0,0
YouTube,2.5,0,2.5
TikTok,4,0,4
Instagram,0.5,0,0.5
Facebook,3,0,3
YouTube,10,0,10
TikTok,0,0,0
Instagram,0,0,0
Facebook,0,0,0
YouTube,0,0,0
TikTok,15.4,0,15.4
Instagram,4.35,0,4.35
Facebook,2.5,0,2.5
